"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"DT.DIS.MLAT.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, multilateral (DIS, current US$)","Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLAT.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, multilateral (DIS, current US$)","Private sector guaranteed by Public Sector  multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector  multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLAT.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, multilateral (DIS, current US$)","Public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLTC.CD","Economic Policy & Debt: External debt: Disbursements","PPG, multilateral concessional (DIS, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLTC.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, multilateral concessional (DIS, current US$)","General government multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General goverment multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLTC.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, multilateral concessional (DIS, current US$)","Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLTC.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, multilateral concessional (DIS, current US$)","Private sector guaranteed by Public Sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.MLTC.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, multilateral concessional (DIS, current US$)","Public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.OFFT.CD","Economic Policy & Debt: External debt: Disbursements","PPG, official creditors (DIS, current US$)","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.OFFT.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, official creditors (DIS, current US$)","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.OFFT.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, official creditors (DIS, current US$)","Other public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.OFFT.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, official creditors (DIS, current US$)","Private sector guaranteed by Public Sector  debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector  debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.OFFT.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, official creditors (DIS, current US$)","Public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PBND.CD","Economic Policy & Debt: External debt: Disbursements","PPG, bonds (DIS, current US$)","Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PBND.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, bonds (DIS, current US$)","General government debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General government debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PBND.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, bonds (DIS, current US$)","Other public sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PBND.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, bonds (DIS, current US$)","Private sector guaranteed by Public Sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PBND.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, bonds (DIS, current US$)","Public sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PCBK.CD","Economic Policy & Debt: External debt: Disbursements","PPG, commercial banks (DIS, current US$)","Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PCBK.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, commercial banks (DIS, current US$)","General government commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General government commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PCBK.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, commercial banks (DIS, current US$)","Other public sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PCBK.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, commercial banks (DIS, current US$)","Private sector guaranteed by Public Sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PCBK.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, commercial banks (DIS, current US$)","Public sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PNGB.CD","Economic Policy & Debt: External debt: Disbursements","PNG, bonds (DIS, current US$)","Nonguaranteed long-term debt from bonds that are privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Nonguaranteed long-term debt from bonds that are privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PNGC.CD","Economic Policy & Debt: External debt: Disbursements","PNG, commercial banks and other creditors (DIS, current US$)","Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PROP.CD","Economic Policy & Debt: External debt: Disbursements","PPG, other private creditors (DIS, current US$)","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PROP.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, other private creditors (DIS, current US$)","General government other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General government other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PROP.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, other private creditors (DIS, current US$)","Other public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PROP.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, other private creditors (DIS, current US$)","Private sector guaranteed by Public Sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PROP.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, other private creditors (DIS, current US$)","Public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRPG.CD","Economic Policy & Debt: External debt: Disbursements","Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRVT.CD","Economic Policy & Debt: External debt: Disbursements","PPG, private creditors (DIS, current US$)","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRVT.GG.CD","Economic Policy & Debt: External debt: Disbursements","GG, private creditors (DIS, current US$)","General government other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","General government other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRVT.OPS.CD","Economic Policy & Debt: External debt: Disbursements","OPS, private creditors (DIS, current US$)","Other public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Other public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRVT.PRVG.CD","Economic Policy & Debt: External debt: Disbursements","PRVG, private creditors (DIS, current US$)","Private sector guaranteed by Public Sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Private sector guaranteed by Public Sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DIS.PRVT.PS.CD","Economic Policy & Debt: External debt: Disbursements","PS, private creditors (DIS, current US$)","Public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","Public sector other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"DT.DOD.ALLC.CD","Economic Policy & Debt: External debt: Debt outstanding","External debt stocks, concessional (DOD, current US$)","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
